time_1a,S_1a,time_1b,S_1b,time_1d,S_1d,time_1e,S_1e,time_1f,S_1f,time_1g,S_1g,time_1h,S_1h
,,,,,,,,,,,,480,0.082795
,,,,,,,,,,,,481,0.08281
,,,,,,,,,,,,482,0.083707
,,,,,,,,,,,,483,0.083876
,,,,,,,,,,,,484,0.082799
,,,,,,,,,,,,485,0.083539
,,,,,,,,,,,,486,0.083568
,,,,,,,,,,,,487,0.083125
,,,,,,,,,,,,488,0.083098
,,,,,,,,,,,,489,0.083725
,,,,,,,,,,,,490,0.082695
,,,,,,,,,,,,491,0.083156
,,,,,,,,,,,,492,0.082591
,,,,,,,,,,,,493,0.082987
,,,,,,,,,,,,494,0.082968
,,,,,,,,,,,,495,0.082551
,,,,,,,,,,,,496,0.082212
,,,,,,,,,,,,497,0.081684
,,,,,,,,,,,,498,0.083374
,,,,,,,,,,,,499,0.083119
,,,,,,,,,,,,500,0.082529
,,,,,,,,,,,,501,0.082463
,,,,,,,,,,,,502,0.081672
,,,,,,,,,,,,503,0.081764
,,,,,,,,,,,,504,0.082539
,,,,,,,,,,,,505,0.081371
,,,,,,,,,,,,506,0.082907
,,,,,,,,,,,,507,0.081901
,,,,,,,,,,,,508,0.082092
,,,,,,,,,,,,509,0.082067
,,,,,,,,,,,,510,0.081967
,,,,,,,,,,,,511,0.082478
,,,,,,,,,,,,512,0.082089
,,,,,,,,,,,,513,0.08199
,,,,,,,,,,,,514,0.082095
,,,,,,,,,,,,515,0.082185
,,,,,,,,,,,,516,0.083224
,,,,,,,,,,,,517,0.082319
,,,,,,,,,,,,518,0.082146
,,,,,,,,,,,,519,0.082426
,,,,,,,,,,,,520,0.08198
,,,,,,,,,,,,521,0.080908
,,,,,,,,,,,,522,0.08151
,,,,,,,,,,,,523,0.082668
,,,,,,,,,,,,524,0.081759
,,,,,,,,,,,,525,0.081752
,,,,,,,,,,,,526,0.081101
,,,,,,,,,,,,527,0.081788
,,,,,,,,,,,,528,0.081871
,,,,,,,,,,,,529,0.082524
,,,,,,,,,,,,530,0.080627
,,,,,,,,,,,,531,0.081177
,,,,,,,,,,,,532,0.081039
,,,,,,,,,,,,533,0.081637
,,,,,,,,,,,,534,0.080897
,,,,,,,,,,,,535,0.081755
,,,,,,,,,,,,536,0.081307
,,,,,,,,,,,,537,0.082032
,,,,,,,,,,,,538,0.081593
,,,,,,,,,,,,539,0.08195
,,,,,,,,,,,,540,0.080867
,,,,,,,,,,,,541,0.081119
,,,,,,,,,,,,542,0.082538
,,,,,,,,,,,,543,0.081031
,,,,,,,,,,,,544,0.082028
,,,,,,,,,,,,545,0.081102
,,,,,,,,,,,,546,0.081996
,,,,,,,,,,,,547,0.081726
,,,,,,,,,,,,548,0.081998
,,,,,,,,,,,,549,0.081774
,,,,,,,,,,,,550,0.08114
,,,,,,,,,,,,551,0.082345
,,,,,,,,,,,,552,0.080457
,,,,,,,,,,,,553,0.080938
,,,,,,,,,,,,554,0.081355
,,,,,,,,,,,,555,0.081129
,,,,,,,,,,,,556,0.080176
,,,,,,,,,,,,557,0.080275
,,,,,,,,,,,,558,0.080739
,,,,,,,,,,,,559,0.081081
,,,,,,,,,,,,560,0.081023
,,,,,,,,,,,,561,0.081139
,,,,,,,,,,,,562,0.08016
,,,,,,,,,,,,563,0.08049
,,,,,,,,,,,,564,0.080959
,,,,,,,,,,,,565,0.080075
,,,,,,,,,,,,566,0.080487
,,,,,,,,,,,,567,0.081266
,,,,,,,,,,,,568,0.079563
,,,,,,,,,,,,569,0.081551
,,,,,,,,,,,,570,0.080386
,,,,,,,,,,,,571,0.080322
,,,,,,,,,,,,572,0.080242
,,,,,,,,,,,,573,0.080129
,,,,,,,,,,,,574,0.081739
,,,,,,,,,,,,575,0.080104
,,,,,,,,,,,,576,0.080183
,,,,,,,,,,,,577,0.079968
,,,,,,,,,,,,578,0.07941
,,,,,,,,,,,,579,0.080432
,,,,,,,,,,,,580,0.079823
,,,,,,,,,,,,581,0.081066
,,,,,,,,,,,,582,0.079877
,,,,,,,,,,,,583,0.080141
,,,,,,,,,,,,584,0.080458
,,,,,,,,,,,,585,0.081311
,,,,,,,,,,,,586,0.079479
,,,,,,,,,,,,587,0.080451
,,,,,,,,,,,,588,0.080336
,,,,,,,,,,,,589,0.079905
,,,,,,,,,,,,590,0.080128
,,,,,,,,,,,,591,0.080072
,,,,,,,,,,,,592,0.079329
,,,,,,,,,,,,593,0.080103
,,,,,,,,,,,,594,0.080377
,,,,,,,,,,,,595,0.079866
,,,,,,,,,,,,596,0.080315
,,,,,,,,,,,,597,0.080178
,,,,,,,,,,,,598,0.080388
,,,,,,,,,,,,599,0.080289
,,,,,,,,,,,,600,0.079389
,,,,,,,,,,,,601,0.080075
,,,,,,,,,,,,602,0.079687
,,,,,,,,,,,,603,0.079996
,,,,,,,,,,,,604,0.080294
,,,,,,,,,,,,605,0.08027
,,,,,,,,,,,,606,0.079599
,,,,,,,,,,,,607,0.07927
,,,,,,,,,,,,608,0.080579
,,,,,,,,,,,,609,0.080101
,,,,,,,,,,,,610,0.08057
,,,,,,,,,,,,611,0.079975
,,,,,,,,,,,,612,0.079241
,,,,,,,,,,,,613,0.079373
,,,,,,,,,,,,614,0.078806
,,,,,,,,,,,,615,0.079318
,,,,,,,,,,,,616,0.079433
,,,,,,,,,,,,617,0.079415
,,,,,,,,,,,,618,0.080156
,,,,,,,,,,,,619,0.079472
,,,,,,,,,,,,620,0.079252
,,,,,,,,,,,,621,0.078321
,,,,,,,,,,,,622,0.079007
